Table 1
Place,% Insufficient Sleep,Error Margin,state,
Ripley,35%,33-36%,Indiana,
Rush,34%,33-36%,Indiana,
Scott,36%,35-37%,Indiana,
Shelby,36%,35-37%,Indiana,
Spencer,32%,31-33%,Indiana,
St. Joseph,37%,36-38%,Indiana,
Starke,36%,35-38%,Indiana,
Steuben,33%,32-34%,Indiana,
Sullivan,34%,32-35%,Indiana,
Switzerland,37%,35-38%,Indiana,
Tippecanoe,32%,31-33%,Indiana,
Tipton,33%,32-35%,Indiana,
Union,34%,32-35%,Indiana,
Vanderburgh,34%,33-35%,Indiana,
Vermillion,34%,33-36%,Indiana,
Vigo,35%,34-36%,Indiana,
Wabash,34%,33-35%,Indiana,
Warren,34%,32-35%,Indiana,
Warrick,33%,32-34%,Indiana,
Washington,34%,33-35%,Indiana,
Wayne,32%,31-33%,Indiana,
Wells,33%,32-34%,Indiana,
White,35%,34-36%,Indiana,
Whitley,32%,30-33%,Indiana,
Adair,27%,26-28%,Iowa,
Adams,27%,26-28%,Iowa,
Allamakee,29%,28-30%,Iowa,
Appanoose,29%,28-30%,Iowa,
Audubon,27%,26-28%,Iowa,
Benton,28%,27-30%,Iowa,
Black Hawk,27%,27-28%,Iowa,
Boone,29%,28-30%,Iowa,
Bremer,27%,26-28%,Iowa,
Buchanan,28%,27-29%,Iowa,
Buena Vista,29%,28-30%,Iowa,
Butler,25%,24-26%,Iowa,
Calhoun,27%,26-28%,Iowa,
Carroll,29%,27-30%,Iowa,
Cass,26%,25-27%,Iowa,
Cedar,27%,26-28%,Iowa,
Cerro Gordo,26%,25-27%,Iowa,
Cherokee,25%,24-26%,Iowa,
Chickasaw,27%,26-28%,Iowa,
Clarke,28%,27-29%,Iowa,
Clay,29%,27-30%,Iowa,
Clayton,26%,25-27%,Iowa,
Clinton,32%,30-33%,Iowa,
Crawford,29%,28-30%,Iowa,
Dallas,26%,25-26%,Iowa,
Davis,27%,26-28%,Iowa,
Decatur,29%,28-31%,Iowa,
Delaware,28%,26-29%,Iowa,
Des Moines,30%,29-31%,Iowa,
Dickinson,25%,24-26%,Iowa,
Dubuque,28%,27-29%,Iowa,
Emmet,27%,26-28%,Iowa,
Fayette,28%,27-29%,Iowa,
Floyd,28%,27-29%,Iowa,
Franklin,28%,27-29%,Iowa,
Fremont,27%,26-29%,Iowa,
Greene,28%,27-29%,Iowa,
Grundy,25%,24-26%,Iowa,
Guthrie,27%,26-28%,Iowa,
Hamilton,28%,27-29%,Iowa,
Hancock,27%,26-28%,Iowa,
Hardin,28%,27-29%,Iowa,
Harrison,30%,29-31%,Iowa,
Henry,31%,30-32%,Iowa,
Howard,27%,25-28%,Iowa,
Humboldt,28%,27-29%,Iowa,
Ida,26%,25-27%,Iowa,
Iowa,26%,25-27%,Iowa,
Jackson,27%,26-28%,Iowa,
Jasper,27%,26-28%,Iowa,
Jefferson,29%,28-30%,Iowa,
Johnson,27%,26-27%,Iowa,
Jones,26%,25-27%,Iowa,
Keokuk,28%,27-29%,Iowa,
Kossuth,27%,26-28%,Iowa,
Lee,30%,29-31%,Iowa,
Linn,27%,26-28%,Iowa,
Louisa,28%,27-29%,Iowa,
Lucas,26%,25-28%,Iowa,
Lyon,25%,24-26%,Iowa,
Madison,28%,26-29%,Iowa,
Mahaska,28%,27-29%,Iowa,
Marion,27%,26-28%,Iowa,
Marshall,26%,25-27%,Iowa,
Mills,26%,25-27%,Iowa,
Mitchell,26%,25-27%,Iowa,
Monona,26%,25-27%,Iowa,
Monroe,28%,27-29%,Iowa,
Montgomery,28%,27-29%,Iowa,
Muscatine,29%,29-30%,Iowa,
O'Brien,27%,26-28%,Iowa,
Osceola,27%,26-28%,Iowa,
Page,28%,27-29%,Iowa,
Palo Alto,27%,26-28%,Iowa,
Plymouth,26%,25-27%,Iowa,
Pocahontas,28%,27-29%,Iowa,
Polk,30%,29-31%,Iowa,
Pottawattamie,30%,29-31%,Iowa,
Poweshiek,25%,24-26%,Iowa,
Ringgold,27%,26-28%,Iowa,
Sac,28%,27-29%,Iowa,
Scott,28%,28-29%,Iowa,
Shelby,26%,24-26%,Iowa,
Sioux,25%,24-26%,Iowa,
Story,26%,25-27%,Iowa,
Tama,27%,26-28%,Iowa,
Taylor,26%,25-27%,Iowa,
Union,28%,27-29%,Iowa,
Van Buren,27%,26-28%,Iowa,
Wapello,31%,30-32%,Iowa,
Warren,27%,26-28%,Iowa,
Washington,28%,27-29%,Iowa,
Wayne,27%,25-28%,Iowa,
Webster,29%,28-30%,Iowa,
Winnebago,27%,26-28%,Iowa,
Winneshiek,26%,25-27%,Iowa,
Woodbury,28%,27-29%,Iowa,
Worth,26%,25-27%,Iowa,
Wright,27%,26-28%,Iowa,
Allen,29%,28-30%,Kansas,
Anderson,29%,28-30%,Kansas,
Atchison,35%,33-36%,Kansas,
Barber,29%,28-30%,Kansas,
Barton,27%,27-28%,Kansas,
Bourbon,30%,29-31%,Kansas,
Brown,29%,28-30%,Kansas,
Butler,32%,32-33%,Kansas,
Chase,30%,29-31%,Kansas,
Chautauqua,29%,28-30%,Kansas,
Cherokee,33%,32-34%,Kansas,
Cheyenne,28%,27-30%,Kansas,
Clark,29%,28-30%,Kansas,
Clay,28%,27-29%,Kansas,
Cloud,30%,28-31%,Kansas,
Coffey,30%,29-31%,Kansas,
Comanche,27%,26-28%,Kansas,
Cowley,32%,31-33%,Kansas,
Crawford,31%,30-32%,Kansas,
Decatur,28%,27-29%,Kansas,
Dickinson,31%,30-32%,Kansas,
Doniphan,29%,28-30%,Kansas,
Douglas,28%,28-29%,Kansas,
Edwards,30%,29-31%,Kansas,
Elk,28%,27-29%,Kansas,
Ellis,29%,28-30%,Kansas,
Ellsworth,30%,29-31%,Kansas,
Finney,31%,31-32%,Kansas,
Ford,31%,31-32%,Kansas,
Franklin,31%,30-32%,Kansas,
Geary,33%,32-34%,Kansas,
Gove,28%,27-29%,Kansas,
Graham,29%,28-30%,Kansas,
Grant,30%,29-31%,Kansas,
Gray,28%,27-29%,Kansas,
Greeley,28%,27-29%,Kansas,
Greenwood,29%,28-30%,Kansas,
Hamilton,30%,29-31%,Kansas,
Harper,28%,27-30%,Kansas,
Harvey,29%,28-30%,Kansas,
Haskell,30%,29-31%,Kansas,
Hodgeman,27%,26-28%,Kansas,
Jackson,31%,30-32%,Kansas,
Jefferson,27%,26-28%,Kansas,
Jewell,28%,27-29%,Kansas,
Johnson,25%,25-26%,Kansas,
Kearny,30%,29-31%,Kansas,
Kingman,30%,28-31%,Kansas,
Kiowa,28%,27-29%,Kansas,
Labette,31%,30-32%,Kansas,
Lane,28%,27-30%,Kansas,
Leavenworth,35%,34-36%,Kansas,
Lincoln,30%,29-31%,Kansas,
Linn,31%,30-32%,Kansas,
Logan,28%,27-29%,Kansas,
Lyon,29%,28-30%,Kansas,
Marion,28%,27-29%,Kansas,
Marshall,28%,26-29%,Kansas,
McPherson,28%,27-29%,Kansas,
Meade,29%,28-30%,Kansas,
Miami,31%,30-32%,Kansas,
Mitchell,28%,27-29%,Kansas,
Montgomery,33%,32-34%,Kansas,
Morris,27%,26-28%,Kansas,
Morton,29%,29-30%,Kansas,
Nemaha,29%,28-30%,Kansas,
Neosho,31%,30-32%,Kansas,
Ness,27%,26-29%,Kansas,
Norton,29%,28-30%,Kansas,
Osage,28%,27-29%,Kansas,
Osborne,28%,27-29%,Kansas,
Ottawa,30%,29-31%,Kansas,
Pawnee,31%,30-32%,Kansas,
Phillips,30%,29-31%,Kansas,
Pottawatomie,28%,27-29%,Kansas,
Pratt,29%,28-30%,Kansas,
Rawlins,27%,26-29%,Kansas,
Reno,32%,32-33%,Kansas,
Republic,28%,27-29%,Kansas,
Rice,31%,30-32%,Kansas,
Riley,28%,27-29%,Kansas,
Rooks,29%,28-30%,Kansas,
Rush,31%,29-32%,Kansas,
Russell,28%,27-29%,Kansas,
Saline,28%,28-29%,Kansas,
Scott,28%,27-29%,Kansas,
Sedgwick,34%,33-34%,Kansas,
Seward,32%,31-33%,Kansas,
Shawnee,30%,30-31%,Kansas,
Sheridan,28%,27-29%,Kansas,
Sherman,30%,29-31%,Kansas,
Smith,28%,27-29%,Kansas,
Stafford,31%,30-32%,Kansas,
Stanton,30%,29-31%,Kansas,
Stevens,30%,29-31%,Kansas,
Sumner,32%,31-33%,Kansas,
Thomas,29%,28-30%,Kansas,
Trego,27%,26-28%,Kansas,
Wabaunsee,28%,27-29%,Kansas,
Wallace,28%,27-29%,Kansas,
Washington,27%,26-28%,Kansas,
Wichita,30%,29-31%,Kansas,
Wilson,33%,31-34%,Kansas,
Woodson,29%,27-30%,Kansas,
Wyandotte,36%,35-36%,Kansas,
Adair,36%,35-38%,Kentucky,
Allen,39%,37-40%,Kentucky,
Anderson,35%,34-36%,Kentucky,
Ballard,37%,36-39%,Kentucky,
Barren,40%,39-41%,Kentucky,
Bath,40%,38-41%,Kentucky,
Bell,40%,39-42%,Kentucky,
Boone,38%,37-39%,Kentucky,
Bourbon,38%,37-39%,Kentucky,
Boyd,39%,38-40%,Kentucky,
Boyle,39%,38-40%,Kentucky,
Bracken,37%,36-39%,Kentucky,
Breathitt,42%,40-43%,Kentucky,
Breckinridge,38%,37-39%,Kentucky,
Bullitt,40%,39-41%,Kentucky,
Butler,38%,36-39%,Kentucky,
Caldwell,38%,37-40%,Kentucky,
Calloway,38%,36-39%,Kentucky,
Campbell,34%,33-36%,Kentucky,
Carlisle,37%,35-38%,Kentucky,
Carroll,41%,39-42%,Kentucky,
Carter,41%,39-42%,Kentucky,
Casey,40%,38-41%,Kentucky,
Christian,39%,38-40%,Kentucky,
Clark,37%,36-38%,Kentucky,
Clay,43%,41-44%,Kentucky,
Clinton,39%,38-40%,Kentucky,
Crittenden,37%,36-39%,Kentucky,
Cumberland,37%,36-39%,Kentucky,
Daviess,37%,36-38%,Kentucky,
Edmonson,38%,36-39%,Kentucky,
Elliott,41%,39-42%,Kentucky,
Estill,38%,37-40%,Kentucky,
Fayette,38%,37-39%,Kentucky,
Fleming,39%,38-40%,Kentucky,
Floyd,44%,43-46%,Kentucky,
Franklin,34%,33-35%,Kentucky,
Fulton,42%,41-43%,Kentucky,
Gallatin,37%,36-38%,Kentucky,
Garrard,37%,35-38%,Kentucky,
Grant,38%,37-39%,Kentucky,
Graves,37%,36-38%,Kentucky,
Grayson,37%,35-38%,Kentucky,
Green,37%,36-39%,Kentucky,
Greenup,35%,34-36%,Kentucky,
Hancock,38%,37-40%,Kentucky,
Hardin,41%,40-42%,Kentucky,
Harlan,42%,41-44%,Kentucky,
Harrison,38%,36-39%,Kentucky,
Hart,39%,38-40%,Kentucky,
Henderson,41%,40-42%,Kentucky,
Henry,35%,34-37%,Kentucky,
Hickman,38%,36-39%,Kentucky,
Hopkins,40%,39-41%,Kentucky,
Jackson,41%,39-42%,Kentucky,
Jefferson,36%,35-36%,Kentucky,
Jessamine,36%,35-37%,Kentucky,
Johnson,42%,41-43%,Kentucky,
Kenton,35%,34-36%,Kentucky,
Knott,39%,38-40%,Kentucky,
Knox,41%,39-42%,Kentucky,
Larue,40%,39-41%,Kentucky,
Laurel,37%,36-38%,Kentucky,
Lawrence,39%,38-41%,Kentucky,
Lee,41%,40-43%,Kentucky,
Leslie,38%,36-39%,Kentucky,
Letcher,38%,36-39%,Kentucky,
Lewis,40%,39-42%,Kentucky,
Lincoln,40%,39-41%,Kentucky,
Livingston,36%,35-37%,Kentucky,
Logan,39%,38-40%,Kentucky,
Lyon,36%,35-38%,Kentucky,
Madison,39%,37-40%,Kentucky,
Magoffin,45%,44-47%,Kentucky,
Marion,38%,36-39%,Kentucky,
Marshall,31%,30-32%,Kentucky,
Martin,43%,41-44%,Kentucky,
Mason,38%,36-39%,Kentucky,
McCracken,37%,36-38%,Kentucky,
McCreary,43%,42-44%,Kentucky,
McLean,36%,35-38%,Kentucky,
Meade,39%,38-40%,Kentucky,
Menifee,40%,39-41%,Kentucky,
Mercer,38%,37-39%,Kentucky,
Metcalfe,38%,37-39%,Kentucky,
Monroe,39%,38-41%,Kentucky,
Montgomery,38%,37-39%,Kentucky,
Morgan,43%,42-45%,Kentucky,
Muhlenberg,37%,36-39%,Kentucky,
Nelson,41%,40-42%,Kentucky,
Nicholas,39%,37-40%,Kentucky,
Ohio,39%,37-40%,Kentucky,
Oldham,36%,35-37%,Kentucky,
Owen,38%,37-39%,Kentucky,
Owsley,40%,38-41%,Kentucky,
Pendleton,36%,35-38%,Kentucky,
Perry,41%,40-42%,Kentucky,
Pike,41%,40-43%,Kentucky,
Powell,39%,38-41%,Kentucky,
Pulaski,41%,39-42%,Kentucky,
Robertson,37%,36-39%,Kentucky,
Rockcastle,38%,37-39%,Kentucky,
Rowan,38%,37-40%,Kentucky,
Russell,40%,39-42%,Kentucky,
Scott,37%,36-38%,Kentucky,
Shelby,37%,36-38%,Kentucky,
Simpson,37%,36-39%,Kentucky,
Spencer,38%,37-40%,Kentucky,
Taylor,40%,39-41%,Kentucky,
Todd,39%,38-40%,Kentucky,
Trigg,36%,35-37%,Kentucky,
Trimble,39%,38-41%,Kentucky,
Union,42%,41-44%,Kentucky,
Warren,37%,36-38%,Kentucky,
Washington,38%,36-39%,Kentucky,
Wayne,41%,40-42%,Kentucky,
Webster,40%,39-41%,Kentucky,
Whitley,40%,39-42%,Kentucky,
Wolfe,44%,43-46%,Kentucky,
Woodford,37%,36-38%,Kentucky,
Acadia,32%,31-33%,Louisiana,
Allen,36%,35-37%,Louisiana,
Ascension,38%,37-39%,Louisiana,
Assumption,36%,35-37%,Louisiana,
Avoyelles,38%,37-38%,Louisiana,
Beauregard,34%,33-35%,Louisiana,
Bienville,37%,36-38%,Louisiana,
Bossier,37%,36-38%,Louisiana,
Caddo,36%,35-37%,Louisiana,
Calcasieu,38%,37-39%,Louisiana,
Caldwell,35%,34-36%,Louisiana,
Cameron,32%,31-34%,Louisiana,
Catahoula,36%,35-38%,Louisiana,
Claiborne,38%,37-39%,Louisiana,
Concordia,40%,39-41%,Louisiana,
De Soto,36%,35-37%,Louisiana,
East Baton Rouge,35%,35-36%,Louisiana,
East Carroll,45%,44-46%,Louisiana,
East Feliciana,39%,38-40%,Louisiana,
Evangeline,38%,37-39%,Louisiana,
Franklin,37%,36-38%,Louisiana,
Grant,35%,34-36%,Louisiana,
Iberia,37%,36-38%,Louisiana,
Iberville,38%,37-39%,Louisiana,
Jackson,39%,38-40%,Louisiana,
Jefferson,37%,37-38%,Louisiana,
Jefferson Davis,33%,32-34%,Louisiana,
La Salle,36%,35-37%,Louisiana,
Lafayette,36%,36-37%,Louisiana,
Lafourche,31%,31-32%,Louisiana,
Lincoln,37%,36-38%,Louisiana,
Livingston,36%,35-37%,Louisiana,
Madison,42%,41-44%,Louisiana,
Morehouse,40%,39-41%,Louisiana,
Natchitoches,38%,37-39%,Louisiana,
Orleans,41%,40-41%,Louisiana,
Ouachita,40%,39-41%,Louisiana,
Plaquemines,36%,35-36%,Louisiana,
Pointe Coupee,35%,34-36%,Louisiana,
Rapides,37%,36-38%,Louisiana,
Red River,37%,36-38%,Louisiana,
Richland,38%,37-39%,Louisiana,
Sabine,35%,34-36%,Louisiana,
St. Bernard,38%,37-39%,Louisiana,
St. Charles,35%,34-36%,Louisiana,
St. Helena,40%,39-41%,Louisiana,
St. James,38%,37-39%,Louisiana,
St. John the Baptist,40%,39-41%,Louisiana,
St. Landry,38%,37-39%,Louisiana,
St. Martin,38%,37-39%,Louisiana,
St. Mary,37%,36-38%,Louisiana,
St. Tammany,36%,35-37%,Louisiana,
Tangipahoa,39%,38-40%,Louisiana,
Tensas,42%,41-43%,Louisiana,
Terrebonne,38%,37-39%,Louisiana,
Union,36%,35-36%,Louisiana,
Vermilion,36%,35-37%,Louisiana,
Vernon,37%,36-38%,Louisiana,
Washington,38%,37-39%,Louisiana,
Webster,39%,38-40%,Louisiana,
West Baton Rouge,40%,38-41%,Louisiana,
West Carroll,36%,35-37%,Louisiana,
West Feliciana,39%,38-41%,Louisiana,
Winn,38%,37-39%,Louisiana,
York,32%,31-33%,Miane,
Washington,34%,33-35%,Miane,
Waldo,32%,31-33%,Miane,
Somerset,35%,35-36%,Miane,
Sagadahoc,28%,27-29%,Miane,
Piscataquis,34%,34-35%,Miane,
Penobscot,33%,33-34%,Miane,
Oxford,32%,31-33%,Miane,
Lincoln,26%,26-27%,Miane,
Knox,29%,28-30%,Miane,
Kennebec,31%,30-32%,Miane,
Hancock,31%,30-31%,Miane,
Franklin,33%,32-34%,Miane,
Cumberland,29%,28-30%,Miane,
Aroostook,34%,33-35%,Miane,
Androscoggin,36%,35-37%,Miane,
Allegany,40%,39-41%,Maryland,
Anne Arundel,35%,34-35%,Maryland,
Baltimore,34%,34-35%,Maryland,
Baltimore City,42%,42-43%,Maryland,
Calvert,33%,32-34%,Maryland,
Caroline,32%,31-33%,Maryland,
Carroll,31%,30-32%,Maryland,
Cecil,36%,35-37%,Maryland,
Charles,41%,40-41%,Maryland,
Dorchester,35%,34-35%,Maryland,
Frederick,34%,33-34%,Maryland,
Garrett,32%,31-33%,Maryland,
Harford,33%,33-34%,Maryland,
Howard,29%,28-29%,Maryland,
Kent,30%,29-31%,Maryland,
Montgomery,32%,32-32%,Maryland,
Prince George's,42%,41-42%,Maryland,
Queen Anne's,31%,30-32%,Maryland,
Somerset,37%,36-38%,Maryland,
St. Mary's,33%,33-34%,Maryland,
Talbot,30%,30-31%,Maryland,
Washington,31%,31-32%,Maryland,
Wicomico,33%,33-34%,Maryland,
Worcester,32%,31-32%,Maryland,
Barnstable,30%,29-31%,Massachusetts,
Berkshire,31%,30-32%,Massachusetts,
Bristol,36%,35-37%,Massachusetts,
Dukes,29%,28-30%,Massachusetts,
Essex,34%,34-35%,Massachusetts,
Franklin,33%,32-34%,Massachusetts,
Hampden,34%,34-35%,Massachusetts,
Hampshire,30%,29-31%,Massachusetts,
Middlesex,31%,30-31%,Massachusetts,
Nantucket,32%,31-33%,Massachusetts,
Norfolk,31%,30-31%,Massachusetts,
Plymouth,37%,36-38%,Massachusetts,
Suffolk,35%,34-35%,Massachusetts,
Worcester,34%,34-35%,Massachusetts,
Alcona,31%,30-33%,Michigan,
Alger,35%,33-36%,Michigan,
Allegan,32%,31-33%,Michigan,
Alpena,35%,34-36%,Michigan,
Antrim,31%,30-32%,Michigan,
Arenac,34%,33-36%,Michigan,
Baraga,38%,37-39%,Michigan,
Barry,38%,36-39%,Michigan,
Bay,36%,35-37%,Michigan,
Benzie,32%,31-33%,Michigan,
Berrien,32%,31-33%,Michigan,
Branch,38%,36-39%,Michigan,
Calhoun,35%,35-36%,Michigan,
Cass,34%,32-35%,Michigan,
Charlevoix,33%,32-34%,Michigan,
Cheboygan,37%,36-38%,Michigan,
Chippewa,37%,36-38%,Michigan,
Clare,38%,36-39%,Michigan,
Clinton,32%,31-33%,Michigan,
Crawford,34%,33-35%,Michigan,
Delta,37%,36-39%,Michigan,
Dickinson,34%,33-35%,Michigan,
Eaton,36%,35-37%,Michigan,
Emmet,34%,33-35%,Michigan,
Genesee,41%,40-41%,Michigan,
Gladwin,33%,32-34%,Michigan,
Gogebic,36%,34-37%,Michigan,
Grand Traverse,32%,31-33%,Michigan,
Gratiot,38%,37-40%,Michigan,
Hillsdale,33%,32-34%,Michigan,
Houghton,37%,36-39%,Michigan,
Huron,34%,33-35%,Michigan,
Ingham,36%,35-36%,Michigan,
Ionia,36%,35-37%,Michigan,
Iosco,35%,34-37%,Michigan,
Iron,33%,31-34%,Michigan,
Isabella,36%,34-37%,Michigan,
Jackson,38%,37-39%,Michigan,
Kalamazoo,35%,34-36%,Michigan,
Kalkaska,36%,34-37%,Michigan,
Kent,33%,33-34%,Michigan,
Keweenaw,33%,32-34%,Michigan,
Lake,36%,35-38%,Michigan,
Lapeer,36%,35-37%,Michigan,
Leelanau,30%,29-31%,Michigan,
Lenawee,38%,37-39%,Michigan,
Livingston,29%,28-30%,Michigan,
Luce,36%,35-38%,Michigan,
Mackinac,36%,35-37%,Michigan,
Macomb,37%,36-37%,Michigan,
Manistee,36%,35-37%,Michigan,
Marquette,33%,32-34%,Michigan,
Mason,34%,33-35%,Michigan,
Mecosta,37%,35-38%,Michigan,
Menominee,33%,32-34%,Michigan,
Midland,35%,34-36%,Michigan,
Missaukee,38%,36-39%,Michigan,
Monroe,35%,34-36%,Michigan,
Montcalm,33%,32-34%,Michigan,
Montmorency,33%,32-34%,Michigan,
Muskegon,37%,37-38%,Michigan,
Newaygo,36%,35-37%,Michigan,
Oakland,32%,32-33%,Michigan,
Oceana,37%,36-38%,Michigan,
Ogemaw,35%,34-37%,Michigan,
Ontonagon,35%,33-36%,Michigan,
Osceola,36%,35-37%,Michigan,
Oscoda,35%,33-36%,Michigan,
Otsego,34%,33-36%,Michigan,
Ottawa,32%,31-33%,Michigan,
Presque Isle,32%,31-33%,Michigan,
Roscommon,35%,34-36%,Michigan,
Saginaw,38%,38-39%,Michigan,
Sanilac,35%,34-36%,Michigan,
Schoolcraft,35%,34-36%,Michigan,
Shiawassee,38%,37-39%,Michigan,
St. Clair,32%,31-33%,Michigan,
St. Joseph,36%,35-38%,Michigan,
Tuscola,36%,35-37%,Michigan,
Van Buren,35%,34-36%,Michigan,
Washtenaw,31%,30-31%,Michigan,
Wayne,42%,41-42%,Michigan,
Wexford,35%,34-36%,Michigan,
Aitkin,30%,29-31%,Minnesota,
Anoka,31%,30-32%,Minnesota,
Becker,29%,28-29%,Minnesota,
Beltrami,31%,30-32%,Minnesota,
Benton,30%,29-31%,Minnesota,
Big Stone,26%,25-27%,Minnesota,
Blue Earth,30%,29-31%,Minnesota,
Brown,28%,27-29%,Minnesota,
Carlton,32%,31-33%,Minnesota,
Carver,28%,27-29%,Minnesota,
Cass,29%,28-30%,Minnesota,
Chippewa,28%,28-30%,Minnesota,
Chisago,30%,29-31%,Minnesota,
Clay,27%,26-28%,Minnesota,
Clearwater,31%,30-32%,Minnesota,
Cook,27%,26-28%,Minnesota,
Cottonwood,29%,28-30%,Minnesota,
Crow Wing,29%,28-30%,Minnesota,
Dakota,30%,29-30%,Minnesota,
Dodge,29%,28-30%,Minnesota,
Douglas,27%,26-28%,Minnesota,
Faribault,29%,28-30%,Minnesota,
Fillmore,28%,26-29%,Minnesota,
Freeborn,29%,28-29%,Minnesota,
Goodhue,27%,26-28%,Minnesota,
Grant,28%,27-29%,Minnesota,
Hennepin,28%,28-28%,Minnesota,
Houston,29%,27-30%,Minnesota,
Hubbard,27%,26-28%,Minnesota,
Isanti,30%,29-31%,Minnesota,
Itasca,29%,28-30%,Minnesota,
Jackson,28%,27-29%,Minnesota,
Kanabec,31%,30-33%,Minnesota,
Kandiyohi,28%,27-29%,Minnesota,
Kittson,28%,27-29%,Minnesota,
Koochiching,29%,28-30%,Minnesota,
Lac qui Parle,29%,28-30%,Minnesota,
Lake,27%,26-28%,Minnesota,
Lake of the Woods,30%,28-31%,Minnesota,
Le Sueur,28%,27-29%,Minnesota,
Lincoln,29%,28-30%,Minnesota,
Lyon,30%,29-31%,Minnesota,
Mahnomen,34%,33-35%,Minnesota,
Marshall,30%,29-31%,Minnesota,
Martin,28%,27-30%,Minnesota,
McLeod,28%,27-29%,Minnesota,
Meeker,26%,25-27%,Minnesota,
Mille Lacs,35%,34-37%,Minnesota,
Morrison,30%,29-31%,Minnesota,
Mower,29%,28-30%,Minnesota,
Murray,29%,28-31%,Minnesota,
Nicollet,29%,28-30%,Minnesota,
Nobles,31%,30-32%,Minnesota,
Norman,29%,28-30%,Minnesota,
Olmsted,30%,30-31%,Minnesota,
Otter Tail,28%,27-29%,Minnesota,
Pennington,29%,28-30%,Minnesota,
Pine,29%,28-30%,Minnesota,
Pipestone,28%,27-29%,Minnesota,
Polk,31%,30-32%,Minnesota,
Pope,27%,26-28%,Minnesota,
Ramsey,28%,28-29%,Minnesota,
Red Lake,28%,27-29%,Minnesota,
Redwood,29%,28-30%,Minnesota,
Renville,28%,27-29%,Minnesota,
Rice,29%,28-30%,Minnesota,
Rock,28%,27-30%,Minnesota,
Roseau,29%,28-31%,Minnesota,
Scott,31%,30-32%,Minnesota,
Sherburne,32%,31-33%,Minnesota,
Sibley,28%,27-29%,Minnesota,
St. Louis,31%,31-32%,Minnesota,
Stearns,32%,31-33%,Minnesota,
Steele,30%,29-31%,Minnesota,
Stevens,28%,27-29%,Minnesota,
Swift,27%,26-28%,Minnesota,
Todd,31%,29-31%,Minnesota,
Traverse,28%,27-29%,Minnesota,
Wabasha,28%,27-29%,Minnesota,
Wadena,29%,28-31%,Minnesota,
Waseca,28%,27-29%,Minnesota,
Washington,27%,26-28%,Minnesota,
Watonwan,31%,30-32%,Minnesota,
Wilkin,28%,26-29%,Minnesota,
Winona,30%,29-31%,Minnesota,
Wright,29%,28-30%,Minnesota,
Yellow Medicine,29%,28-31%,Minnesota,
Adams,41%,40-42%,Mississippi,
Alcorn,34%,33-35%,Mississippi,
Amite,37%,36-37%,Mississippi,
Attala,33%,32-34%,Mississippi,
Benton,35%,34-36%,Mississippi,
Bolivar,37%,36-38%,Mississippi,
Calhoun,35%,34-36%,Mississippi,
Carroll,33%,32-34%,Mississippi,
Chickasaw,35%,34-36%,Mississippi,
Choctaw,33%,32-33%,Mississippi,
Claiborne,43%,41-44%,Mississippi,
Clarke,32%,31-33%,Mississippi,
Clay,37%,36-38%,Mississippi,
Coahoma,41%,40-42%,Mississippi,
Copiah,34%,33-35%,Mississippi,
Covington,35%,34-36%,Mississippi,
DeSoto,32%,31-33%,Mississippi,
Forrest,37%,36-38%,Mississippi,
Franklin,34%,33-35%,Mississippi,
George,31%,30-32%,Mississippi,
Greene,32%,31-33%,Mississippi,
Grenada,36%,35-37%,Mississippi,
Hancock,32%,30-33%,Mississippi,
Harrison,36%,35-36%,Mississippi,
Hinds,38%,37-39%,Mississippi,
Holmes,41%,40-43%,Mississippi,
Humphreys,42%,40-43%,Mississippi,
Issaquena,40%,39-42%,Mississippi,
Itawamba,31%,30-33%,Mississippi,
Jackson,32%,31-33%,Mississippi,
Jasper,35%,34-36%,Mississippi,
Jefferson,42%,41-44%,Mississippi,
Jefferson Davis,39%,38-40%,Mississippi,
Jones,33%,33-34%,Mississippi,
Kemper,39%,38-40%,Mississippi,
Lafayette,33%,32-34%,Mississippi,
Lamar,33%,32-34%,Mississippi,
Lauderdale,38%,37-38%,Mississippi,
Lawrence,34%,34-35%,Mississippi,
Leake,35%,34-36%,Mississippi,
Lee,33%,32-34%,Mississippi,
Leflore,39%,37-40%,Mississippi,
Lincoln,35%,34-36%,Mississippi,
Lowndes,34%,34-35%,Mississippi,
Madison,33%,32-34%,Mississippi,
Marion,35%,34-36%,Mississippi,
Marshall,36%,36-37%,Mississippi,
Monroe,33%,32-34%,Mississippi,
Montgomery,34%,33-35%,Mississippi,
Neshoba,36%,35-37%,Mississippi,
Newton,33%,32-33%,Mississippi,
Noxubee,38%,37-39%,Mississippi,
Oktibbeha,34%,33-35%,Mississippi,
Panola,34%,33-35%,Mississippi,
Pearl River,33%,32-34%,Mississippi,
Perry,33%,32-34%,Mississippi,
Pike,37%,36-38%,Mississippi,
Pontotoc,32%,31-33%,Mississippi,
Prentiss,34%,33-35%,Mississippi,
Quitman,40%,39-41%,Mississippi,
Rankin,33%,32-34%,Mississippi,
Scott,36%,35-37%,Mississippi,
Sharkey,40%,39-41%,Mississippi,
Simpson,37%,36-38%,Mississippi,
Smith,32%,31-33%,Mississippi,
Stone,33%,32-34%,Mississippi,
Sunflower,42%,41-43%,Mississippi,
Tallahatchie,36%,35-37%,Mississippi,
Tate,32%,31-33%,Mississippi,
Tippah,32%,31-33%,Mississippi,
Tishomingo,31%,30-32%,Mississippi,
Tunica,41%,40-42%,Mississippi,
